ImgName,label,fold
00IS.png,00IS,3
00O3.png,00O3,2
0180.png,0180,0
01BA.png,01BA,2
01CZ.png,01CZ,1
01je.png,01je,4
01jQ.png,01jQ,3
01jU.png,01jU,2
01uJ.png,01uJ,2
02eO.png,02eO,3
035x.png,035x,3
03kd.png,03kd,4
03R5.png,03R5,1
04iM.png,04iM,3
04qj.png,04qj,0
04Rg.png,04Rg,2
04X0.png,04X0,4
055A.png,055A,0
05ga.png,05ga,2
05op.png,05op,1
05RL.png,05RL,2
05xR.png,05xR,2
067S.png,067S,0
06ca.png,06ca,3
06dr.png,06dr,4
06PW.png,06PW,1
06QG.png,06QG,3
06Ry.png,06Ry,3
07CO.png,07CO,0
07HR.png,07HR,0
07Ih.png,07Ih,4
07M4.png,07M4,4
07xO.png,07xO,3
08e2.png,08e2,0
08I6.png,08I6,3
08p4.png,08p4,1
08Tb.png,08Tb,2
099G.png,099G,0
09bk.png,09bk,4
09cp.png,09cp,3
09PB.png,09PB,3
0a1E.png,0a1E,2
0A5o.png,0A5o,2
0AHd.png,0AHd,1
0AjM.png,0AjM,0
0arU.png,0arU,0
0Azf.png,0Azf,2
0baK.png,0baK,0
0BnP.png,0BnP,4
0bPq.png,0bPq,0
0bT2.png,0bT2,3
0bTQ.png,0bTQ,2
0c0A.png,0c0A,4
0C6r.png,0C6r,1
0C7P.png,0C7P,2
0cBl.png,0cBl,3
0cK2.png,0cK2,1
0Csu.png,0Csu,4
0cwd.png,0cwd,0
0cX3.png,0cX3,1
0CXG.png,0CXG,3
0cz5.png,0cz5,4
0Djy.png,0Djy,0
0DtH.png,0DtH,0
0Dvj.png,0Dvj,4
0dVs.png,0dVs,4
0DXs.png,0DXs,3
0EAr.png,0EAr,1
0EcL.png,0EcL,2
0edn.png,0edn,2
0eh8.png,0eh8,1
0eIC.png,0eIC,4
0eKm.png,0eKm,1
0eMm.png,0eMm,0
0ERD.png,0ERD,3
0eUi.png,0eUi,1
0FeA.png,0FeA,1
0fFp.png,0fFp,0
0fjj.png,0fjj,0
0FNE.png,0FNE,2
0fno.png,0fno,1
0FqD.png,0FqD,0
0ftm.png,0ftm,0
0Fwd.png,0Fwd,4
0g13.png,0g13,4
0G43.png,0G43,1
0GeH.png,0GeH,0
0Gn5.png,0Gn5,3
0gRV.png,0gRV,1
0gUe.png,0gUe,2
0gvQ.png,0gvQ,3
0HgE.png,0HgE,4
0hgL.png,0hgL,0
0HpD.png,0HpD,2
0hpr.png,0hpr,0
0hs9.png,0hs9,4
0hZ6.png,0hZ6,3
0I2B.png,0I2B,4
0IbF.png,0IbF,0
0Icq.png,0Icq,2
0iFD.png,0iFD,3
0iGd.png,0iGd,0
0igp.png,0igp,2
0ImV.png,0ImV,2
0IpB.png,0IpB,0
0IR3.png,0IR3,4
0iRR.png,0iRR,2
0iV0.png,0iV0,0
0Iwi.png,0Iwi,2
0Iwj.png,0Iwj,1
0IWY.png,0IWY,2
0ixk.png,0ixk,4
0IYc.png,0IYc,4
0jfM.png,0jfM,1
0Jg8.png,0Jg8,1
0jnq.png,0jnq,1
0jq4.png,0jq4,4
0jqE.png,0jqE,1
0Ju0.png,0Ju0,4
0KBP.png,0KBP,2
0keb.png,0keb,0
0kGn.png,0kGn,4
0KkB.png,0KkB,1
0KLD.png,0KLD,3
0kwo.png,0kwo,4
0Kzg.png,0Kzg,0
0Kzl.png,0Kzl,2
0L0a.png,0L0a,3
0L34.png,0L34,4
0l94.png,0l94,1
0lAN.png,0lAN,3
0lEh.png,0lEh,1
0LI2.png,0LI2,3
0liI.png,0liI,4
0lJq.png,0lJq,3
0LO5.png,0LO5,3
